127.0.0.1 - - [05/Sep/2023:14:24:37 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [05/Sep/2023:14:24:38 +0900] "GET /app/mypage.jsp HTTP/1.1" 200 13007
0:0:0:0:0:0:0:1 - - [05/Sep/2023:14:24:38 +0900] "GET /app/assets/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2023:14:24:38 +0900] "GET /app/assets/css/images/log.png.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2023:14:24:45 +0900] "GET /app/loginPage.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Sep/2023:14:24:45 +0900] "GET /app/loginPage.jsp HTTP/1.1" 200 6383
0:0:0:0:0:0:0:1 - - [05/Sep/2023:14:24:48 +0900] "POST /app/login.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Sep/2023:14:24:48 +0900] "GET /app/main.jsp HTTP/1.1" 200 15261
0:0:0:0:0:0:0:1 - - [05/Sep/2023:14:24:48 +0900] "GET /app/assets/css/images/fire.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2023:14:24:51 +0900] "GET /app/mypage.do HTTP/1.1" 200 13048
0:0:0:0:0:0:0:1 - - [05/Sep/2023:14:27:51 +0900] "GET /app/deleteMember.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Sep/2023:14:27:51 +0900] "GET /app/logout.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Sep/2023:14:27:51 +0900] "GET /app/main.jsp HTTP/1.1" 200 15192
0:0:0:0:0:0:0:1 - - [05/Sep/2023:14:30:05 +0900] "GET /app/loginPage.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Sep/2023:14:30:05 +0900] "GET /app/loginPage.jsp HTTP/1.1" 200 6383
0:0:0:0:0:0:0:1 - - [05/Sep/2023:14:30:07 +0900] "POST /app/login.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Sep/2023:14:30:07 +0900] "GET /app/loginPage.jsp HTTP/1.1" 200 6383
0:0:0:0:0:0:0:1 - - [05/Sep/2023:14:30:09 +0900] "POST /app/login.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Sep/2023:14:30:09 +0900] "GET /app/loginPage.jsp HTTP/1.1" 200 6383
0:0:0:0:0:0:0:1 - - [05/Sep/2023:14:30:10 +0900] "POST /app/login.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Sep/2023:14:30:10 +0900] "GET /app/main.jsp HTTP/1.1" 200 15261
0:0:0:0:0:0:0:1 - - [05/Sep/2023:14:30:13 +0900] "GET /app/mypage.do HTTP/1.1" 200 13031
0:0:0:0:0:0:0:1 - - [05/Sep/2023:14:30:38 +0900] "GET /app/deleteMember.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Sep/2023:14:30:38 +0900] "GET /app/logout.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Sep/2023:14:30:38 +0900] "GET /app/main.jsp HTTP/1.1" 200 15192
