0:0:0:0:0:0:0:1 - - [30/Aug/2023:10:07:51 +0900] "POST /app/RcServlet.do?rcresult=1&boardNum=10000 HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [30/Aug/2023:10:07:52 +0900] "POST /app/PhServlet.do?phresult=0&boardNum=10000 HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [30/Aug/2023:10:07:52 +0900] "POST /app/PhServlet.do?phresult=1&boardNum=10000 HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [30/Aug/2023:10:07:53 +0900] "POST /app/RcServlet.do?rcresult=0&boardNum=10000 HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [30/Aug/2023:10:07:54 +0900] "POST /app/PhServlet.do?phresult=0&boardNum=10000 HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [30/Aug/2023:10:07:54 +0900] "POST /app/PhServlet.do?phresult=1&boardNum=10000 HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [30/Aug/2023:10:07:55 +0900] "POST /app/RcServlet.do?rcresult=1&boardNum=10000 HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [30/Aug/2023:10:57:21 +0900] "GET /app/main.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Aug/2023:10:57:21 +0900] "GET /app/main.jsp HTTP/1.1" 200 15188
0:0:0:0:0:0:0:1 - - [30/Aug/2023:11:05:46 +0900] "GET /app/infoListPage.do HTTP/1.1" 200 7974
0:0:0:0:0:0:0:1 - - [30/Aug/2023:11:05:48 +0900] "GET /app/boardDetailPage.do?boardNum=10000 HTTP/1.1" 200 18808
0:0:0:0:0:0:0:1 - - [30/Aug/2023:11:06:36 +0900] "GET /app/main.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Aug/2023:11:06:36 +0900] "GET /app/main.jsp HTTP/1.1" 200 15188
0:0:0:0:0:0:0:1 - - [30/Aug/2023:11:13:31 +0900] "GET /app/infoListPage.do HTTP/1.1" 200 7974
0:0:0:0:0:0:0:1 - - [30/Aug/2023:11:13:55 +0900] "GET /app/main.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Aug/2023:11:13:55 +0900] "GET /app/main.jsp HTTP/1.1" 200 15188
